"Well","SampleID","SampleType","Replicate","DilutionFactor","response_value","concentration_diluted","concentration","ci_lower_individual","ci_upper_individual","quantification_status","is_outlier"
"A4","A4","Sample","AA",1,0.4175,487.569738862095,487.569738862095,450.537895818832,524.601581905359,"Interpolated",FALSE
"B4","B4","Sample","AE",1,0.4219,480.470870240393,480.470870240393,444.314481219991,516.627259260796,"Interpolated",FALSE
"C4","C4","Sample","AB",1,0.4096,500.749411996055,500.749411996055,462.073213058951,539.42561093316,"Interpolated",FALSE
"D4","D4","Sample","AF",1,0.4239,477.298917106859,477.298917106859,441.531339090703,513.066495123015,"Interpolated",FALSE
"E4","E4","Sample","AC",1,0.3988,519.734189538877,519.734189538877,478.64737878317,560.821000294583,"Interpolated",FALSE
"F4","F4","Sample","AG",1,0.409,501.774065136963,501.774065136963,462.96901004724,540.579120226687,"Interpolated",FALSE
"G4","G4","Sample","AD",1,0.401,515.771691487062,515.771691487062,475.19202080506,556.351362169064,"Interpolated",FALSE
"H4","H4","Sample","AH",1,0.457,429.260817129702,429.260817129702,399.193136567674,459.328497691731,"Interpolated",FALSE
"A5","A5","Sample","AA",1,0.4249,475.725512004505,475.725512004505,440.150250996181,511.300773012829,"Interpolated",FALSE
"B5","B5","Sample","AE",1,0.4142,493.005823068041,493.005823068041,455.298709339956,530.712936796125,"Interpolated",FALSE
"C5","C5","Sample","AB",1,0.3946,527.440686975561,527.440686975561,485.361649916327,569.519724034795,"Interpolated",FALSE
"D5","D5","Sample","AF",1,0.437,457.323684598181,457.323684598181,423.97014213224,490.677227064122,"Interpolated",FALSE
"E5","E5","Sample","AC",1,0.4298,468.13426020768,468.13426020768,433.481717348601,502.786803066759,"Interpolated",FALSE
"F5","F5","Sample","AG",1,0.4129,495.174360730588,495.174360730588,457.19670604198,533.152015419197,"Interpolated",FALSE
"G5","G5","Sample","AD",1,0.4433,448.183338252227,448.183338252227,415.913963197054,480.452713307399,"Interpolated",FALSE
"H5","H5","Sample","AH",1,0.4283,470.437481728939,470.437481728939,435.505890697451,505.369072760427,"Interpolated",FALSE
"A6","A6","Sample","BA",1,0.4163,489.535212342047,489.535212342047,452.259702361316,526.810722322777,"Interpolated",FALSE
"B6","B6","Sample","BE",1,0.4106,499.049235337616,499.049235337616,460.58652343476,537.511947240471,"Interpolated",FALSE
"C6","C6","Sample","BB",1,0.4306,466.91319882565,466.91319882565,432.408270645571,501.418127005728,"Interpolated",FALSE
"D6","D6","Sample","BF",1,0.4119,496.853044984554,496.853044984554,458.665509488897,535.04058048021,"Interpolated",FALSE
"E6","E6","Sample","BC",1,0.4287,469.821528613699,469.821528613699,434.964641721908,504.67841550549,"Interpolated",FALSE
"F6","F6","Sample","BG",1,0.4134,494.338476300819,494.338476300819,456.465182561023,532.211770040615,"Interpolated",FALSE
"G6","G6","Sample","BD",1,0.4223,479.833777489975,479.833777489975,443.755599878468,515.911955101481,"Interpolated",FALSE
"H6","H6","Sample","BH",1,0.4303,467.370503202383,467.370503202383,432.810317633247,501.930688771518,"Interpolated",FALSE
"A7","A7","Sample","BA",1,0.8531,146.435262871527,146.435262871527,138.781030303624,154.08949543943,"Interpolated",FALSE
"B7","B7","Sample","BE",1,0.8713,139.148089496298,139.148089496298,131.711752474467,146.584426518128,"Interpolated",FALSE
"C7","C7","Sample","BB",1,0.8583,144.328641347696,144.328641347696,136.739012008926,151.918270686466,"Interpolated",FALSE
"D7","D7","Sample","BF",1,0.8721,138.833193628557,138.833193628557,131.405930366386,146.260456890728,"Interpolated",FALSE
"E7","E7","Sample","BC",1,0.8397,151.95856541041,151.95856541041,144.128280907673,159.788849913147,"Interpolated",FALSE
"F7","F7","Sample","BG",1,0.8353,153.802921535115,153.802921535115,145.911602755946,161.694240314284,"Interpolated",FALSE
"G7","G7","Sample","BD",1,0.8225,159.258515855588,159.258515855588,151.179733285666,167.337298425509,"Interpolated",FALSE
"H7","H7","Sample","BH",1,0.8756,137.46072268473,137.46072268473,130.072695712159,144.848749657302,"Interpolated",FALSE
"A8","A8","Sample","CA",1,0.8574,144.691814705171,144.691814705171,137.091144597052,152.29248481329,"Interpolated",FALSE
"B8","B8","Sample","CE",1,0.8406,151.583215536981,151.583215536981,143.765211511577,159.401219562386,"Interpolated",FALSE
"C8","C8","Sample","CB",1,0.8346,154.097779504963,154.097779504963,146.196595519101,161.998963490824,"Interpolated",FALSE
"D8","D8","Sample","CF",1,0.8479,148.562195613106,148.562195613106,140.84133530769,156.283055918523,"Interpolated",FALSE
"E8","E8","Sample","CC",1,0.8685,140.25374164397,140.25374164397,132.785329583298,147.722153704642,"Interpolated",FALSE
"F8","F8","Sample","CG",1,0.8469,148.973587188116,148.973587188116,141.23967337585,156.707501000382,"Interpolated",FALSE
"G8","G8","Sample","CD",1,0.8747,137.812839365143,137.812839365143,130.414793935075,145.210884795211,"Interpolated",FALSE
"H8","H8","Sample","CH",1,0.8562,145.176975697062,145.176975697062,137.56149394646,152.792457447665,"Interpolated",FALSE
"A9","A9","Sample","CA",1,0.8563,145.136504911881,145.136504911881,137.522261445857,152.750748377905,"Interpolated",FALSE
"B9","B9","Sample","CE",1,0.8362,153.424401191194,153.424401191194,145.545703012624,161.303099369764,"Interpolated",FALSE
"C9","C9","Sample","CB",1,0.8453,149.633418695778,149.633418695778,141.878454023526,157.38838336803,"Interpolated",FALSE
"D9","D9","Sample","CF",1,0.8886,132.435294039035,132.435294039035,125.186824209591,139.68376386848,"Interpolated",FALSE
"E9","E9","Sample","CC",1,0.8437,150.295237254425,150.295237254425,142.519015735294,158.071458773555,"Interpolated",FALSE
"F9","F9","Sample","CG",1,0.8593,143.92581343169,143.92581343169,136.348383974341,151.503242889039,"Interpolated",FALSE
"G9","G9","Sample","CD",1,0.8632,142.361748562408,142.361748562408,134.831231074211,149.892266050605,"Interpolated",FALSE
"H9","H9","Sample","CH",1,0.8553,145.541546765945,145.541546765945,137.914887661899,153.168205869991,"Interpolated",FALSE
"A10","A10","Sample","DA",1,0.2152,1280.52208165371,1280.52208165371,1116.17132412053,1444.8728391869,"Interpolated",FALSE
"B10","B10","Sample","DE",1,0.2027,1418.27940261,1418.27940261,1227.80546194275,1608.75334327724,"Interpolated",FALSE
"C10","C10","Sample","DB",1,0.2242,1197.23215826005,1197.23215826005,1048.23199336942,1346.23232315068,"Interpolated",FALSE
"D10","D10","Sample","DF",1,0.2218,1218.33943952966,1218.33943952966,1065.48249952237,1371.19637953695,"Interpolated",FALSE
"E10","E10","Sample","DC",1,0.2028,1417.05495518641,1417.05495518641,1226.81701619195,1607.29289418086,"Interpolated",FALSE
"F10","F10","Sample","DG",1,0.2204,1231.00713673877,1231.00713673877,1075.82449795457,1386.18977552298,"Interpolated",FALSE
"G10","G10","Sample","DD",1,0.2121,1312.04183947938,1312.04183947938,1141.79222705218,1482.29145190658,"Interpolated",FALSE
"H10","H10","Sample","DH",1,0.185,1676.83762638764,1676.83762638764,1435.13431182846,1918.54094094683,"Interpolated",FALSE
"A11","A11","Sample","DA",1,0.1805,1759.43397676314,1759.43397676314,1500.82203724868,2018.04591627761,"Interpolated",FALSE
"B11","B11","Sample","DE",1,0.2115,1318.32843869581,1318.32843869581,1146.89660269193,1489.7602746997,"Interpolated",FALSE
"C11","C11","Sample","DB",1,0.2034,1409.75432395455,1409.75432395455,1220.92214600526,1598.58650190385,"Interpolated",FALSE
"D11","D11","Sample","DF",1,0.2025,1420.73493278753,1420.73493278753,1229.78751110904,1611.68235446602,"Interpolated",FALSE
"E11","E11","Sample","DC",1,0.203,1414.61266427855,1414.61266427855,1224.84525850796,1604.38007004915,"Interpolated",FALSE
"F11","F11","Sample","DG",1,0.186,1659.58859416942,1659.58859416942,1421.38483768256,1897.79235065627,"Interpolated",FALSE
"G11","G11","Sample","DD",1,0.202,1426.91276016951,1426.91276016951,1234.77294511127,1619.05257522775,"Interpolated",FALSE
"H11","H11","Sample","DH",1,0.1882,1622.93400589072,1622.93400589072,1392.12968034069,1853.73833144076,"Interpolated",FALSE
"A12","A12","Sample","EA",1,0.1978,1481.1136269153,1481.1136269153,1278.44164781446,1683.78560601614,"Interpolated",FALSE
"B12","B12","Sample","EA",1,0.2153,1279.53126968871,1279.53126968871,1115.36516002771,1443.69737934971,"Interpolated",FALSE
"C12","C12","Sample","EB",1,0.2097,1337.56776656536,1337.56776656536,1162.50628315625,1512.62924997447,"Interpolated",FALSE
"D12","D12","Sample","EB",1,0.2009,1440.70351451693,1440.70351451693,1245.89591068895,1635.5111183449,"Interpolated",FALSE
"E12","E12","Sample","EC",1,0.2191,1243.01397449763,1243.01397449763,1085.61942899123,1400.40852000403,"Interpolated",FALSE
"F12","F12","Sample","EC",1,0.2036,1407.33817581966,1407.33817581966,1218.97071616998,1595.70563546933,"Interpolated",FALSE
"G12","G12","Sample","ED",1,0.2261,1181.04378399108,1181.04378399108,1034.98581788981,1327.10175009236,"Interpolated",FALSE
"H12","H12","Sample","ED",1,0.2111,1322.55421696658,1322.55421696658,1150.32665039795,1494.78178353521,"Interpolated",FALSE
