"Well","Row","Column","SampleType","SampleID","StandardConc","DilutionFactor","Replicate","MeasurementValue","NormalizedValue","ResponseUnit"
"A1","A","1","Blank","A1",NA,1,"Ctrl_Blank",0.045,0.045,"Raw Absorbance"
"B1","B","1","Blank","B1",NA,1,"Ctrl_Blank",0.052,0.052,"Raw Absorbance"
"C1","C","1","NSB","C1",NA,1,"Ctrl_NSB",1.318,1.318,"Raw Absorbance"
"D1","D","1","NSB","D1",NA,1,"Ctrl_NSB",2.14,2.14,"Raw Absorbance"
"E1","E","1","B0","E1",NA,1,"Ctrl_B0",0.65,0.65,"Raw Absorbance"
"F1","F","1","B0","F1",NA,1,"Ctrl_B0",0.82,0.82,"Raw Absorbance"
"G1","G","1","B0","G1",NA,1,"Ctrl_B0",0.41,0.41,"Raw Absorbance"
"H1","H","1","TotalActivity","H1",NA,1,"Ctrl_TA",1.105,1.105,"Raw Absorbance"
"A2","A","2","Standard","S1",4000,1,"S1",0.1174,0.1174,"Raw Absorbance"
"B2","B","2","Standard","S2",1600,1,"S2",0.1924,0.1924,"Raw Absorbance"
"C2","C","2","Standard","S3",640,1,"S3",0.342,0.342,"Raw Absorbance"
"D2","D","2","Standard","S4",256,1,"S4",0.632,0.632,"Raw Absorbance"
"E2","E","2","Standard","S5",102.4,1,"S5",0.9708,0.9708,"Raw Absorbance"
"F2","F","2","Standard","S6",41,1,"S6",1.1837,1.1837,"Raw Absorbance"
"G2","G","2","Standard","S7",16.4,1,"S7",1.2651,1.2651,"Raw Absorbance"
"H2","H","2","Standard","S8",6.6,1,"S8",1.26,1.26,"Raw Absorbance"
"A3","A","3","Standard","S1",4000,1,"S1",0.1425,0.1425,"Raw Absorbance"
"B3","B","3","Standard","S2",1600,1,"S2",0.1867,0.1867,"Raw Absorbance"
"C3","C","3","Standard","S3",640,1,"S3",0.3575,0.3575,"Raw Absorbance"
"D3","D","3","Standard","S4",256,1,"S4",0.6399,0.6399,"Raw Absorbance"
"E3","E","3","Standard","S5",102.4,1,"S5",0.9749,0.9749,"Raw Absorbance"
"F3","F","3","Standard","S6",41,1,"S6",1.1633,1.1633,"Raw Absorbance"
"G3","G","3","Standard","S7",16.4,1,"S7",1.2658,1.2658,"Raw Absorbance"
"H3","H","3","Standard","S8",6.6,1,"S8",1.2797,1.2797,"Raw Absorbance"
"A4","A","4","Sample","A4",NA,1,"AA",0.4175,0.4175,"Raw Absorbance"
"B4","B","4","Sample","B4",NA,1,"AE",0.4219,0.4219,"Raw Absorbance"
"C4","C","4","Sample","C4",NA,1,"AB",0.4096,0.4096,"Raw Absorbance"
"D4","D","4","Sample","D4",NA,1,"AF",0.4239,0.4239,"Raw Absorbance"
"E4","E","4","Sample","E4",NA,1,"AC",0.3988,0.3988,"Raw Absorbance"
"F4","F","4","Sample","F4",NA,1,"AG",0.409,0.409,"Raw Absorbance"
"G4","G","4","Sample","G4",NA,1,"AD",0.401,0.401,"Raw Absorbance"
"H4","H","4","Sample","H4",NA,1,"AH",0.457,0.457,"Raw Absorbance"
"A5","A","5","Sample","A5",NA,1,"AA",0.4249,0.4249,"Raw Absorbance"
"B5","B","5","Sample","B5",NA,1,"AE",0.4142,0.4142,"Raw Absorbance"
"C5","C","5","Sample","C5",NA,1,"AB",0.3946,0.3946,"Raw Absorbance"
"D5","D","5","Sample","D5",NA,1,"AF",0.437,0.437,"Raw Absorbance"
"E5","E","5","Sample","E5",NA,1,"AC",0.4298,0.4298,"Raw Absorbance"
"F5","F","5","Sample","F5",NA,1,"AG",0.4129,0.4129,"Raw Absorbance"
"G5","G","5","Sample","G5",NA,1,"AD",0.4433,0.4433,"Raw Absorbance"
"H5","H","5","Sample","H5",NA,1,"AH",0.4283,0.4283,"Raw Absorbance"
"A6","A","6","Sample","A6",NA,1,"BA",0.4163,0.4163,"Raw Absorbance"
"B6","B","6","Sample","B6",NA,1,"BE",0.4106,0.4106,"Raw Absorbance"
"C6","C","6","Sample","C6",NA,1,"BB",0.4306,0.4306,"Raw Absorbance"
"D6","D","6","Sample","D6",NA,1,"BF",0.4119,0.4119,"Raw Absorbance"
"E6","E","6","Sample","E6",NA,1,"BC",0.4287,0.4287,"Raw Absorbance"
"F6","F","6","Sample","F6",NA,1,"BG",0.4134,0.4134,"Raw Absorbance"
"G6","G","6","Sample","G6",NA,1,"BD",0.4223,0.4223,"Raw Absorbance"
"H6","H","6","Sample","H6",NA,1,"BH",0.4303,0.4303,"Raw Absorbance"
"A7","A","7","Sample","A7",NA,1,"BA",0.8531,0.8531,"Raw Absorbance"
"B7","B","7","Sample","B7",NA,1,"BE",0.8713,0.8713,"Raw Absorbance"
"C7","C","7","Sample","C7",NA,1,"BB",0.8583,0.8583,"Raw Absorbance"
"D7","D","7","Sample","D7",NA,1,"BF",0.8721,0.8721,"Raw Absorbance"
"E7","E","7","Sample","E7",NA,1,"BC",0.8397,0.8397,"Raw Absorbance"
"F7","F","7","Sample","F7",NA,1,"BG",0.8353,0.8353,"Raw Absorbance"
"G7","G","7","Sample","G7",NA,1,"BD",0.8225,0.8225,"Raw Absorbance"
"H7","H","7","Sample","H7",NA,1,"BH",0.8756,0.8756,"Raw Absorbance"
"A8","A","8","Sample","A8",NA,1,"CA",0.8574,0.8574,"Raw Absorbance"
"B8","B","8","Sample","B8",NA,1,"CE",0.8406,0.8406,"Raw Absorbance"
"C8","C","8","Sample","C8",NA,1,"CB",0.8346,0.8346,"Raw Absorbance"
"D8","D","8","Sample","D8",NA,1,"CF",0.8479,0.8479,"Raw Absorbance"
"E8","E","8","Sample","E8",NA,1,"CC",0.8685,0.8685,"Raw Absorbance"
"F8","F","8","Sample","F8",NA,1,"CG",0.8469,0.8469,"Raw Absorbance"
"G8","G","8","Sample","G8",NA,1,"CD",0.8747,0.8747,"Raw Absorbance"
"H8","H","8","Sample","H8",NA,1,"CH",0.8562,0.8562,"Raw Absorbance"
"A9","A","9","Sample","A9",NA,1,"CA",0.8563,0.8563,"Raw Absorbance"
"B9","B","9","Sample","B9",NA,1,"CE",0.8362,0.8362,"Raw Absorbance"
"C9","C","9","Sample","C9",NA,1,"CB",0.8453,0.8453,"Raw Absorbance"
