"replicate_group","sample_ids","sample_type","n_replicates","mean_concentration","std_dev","std_error","ci_lower_95","ci_upper_95","ci_lower_model","ci_upper_model","ci_lower_replicate","ci_upper_replicate","ci_lower_raw","ci_upper_raw","ci_truncated","cv_percent","mean_response","within_range","range_flag","quant_status"
"AA","A4,A5","Sample",2,481.6476254333,8.37513312891396,5.92211342879517,406.400039736179,556.895211130421,440.150250996181,524.601581905359,406.400039736179,556.895211130421,406.400039736179,556.895211130421,FALSE,1.73885070467845,0.4212,"Out of Range",">ULOQ","Interpolated"
"AB","C4,C5","Sample",2,514.095049485808,18.8735815365233,13.3456374897528,344.52264720624,683.667451765376,462.073213058951,569.519724034795,344.52264720624,683.667451765376,344.52264720624,683.667451765376,FALSE,3.67122413557579,0.4021,"Out of Range",">ULOQ","Interpolated"
"AC","E4,E5","Sample",2,493.934224873278,36.486659938836,25.7999646655985,166.114591646111,821.753858100446,433.481717348601,560.821000294583,166.114591646111,821.753858100446,166.114591646111,821.753858100446,FALSE,7.38694710782532,0.4143,"Out of Range",">ULOQ","Interpolated"
"AD","G4,G5","Sample",2,481.977514869644,47.7921829015838,33.7941766174177,52.581787878288,911.373241861001,415.913963197054,556.351362169064,52.581787878288,911.373241861001,52.581787878288,911.373241861001,FALSE,9.91585321454459,0.42215,"Out of Range",">ULOQ","Interpolated"
"AE","B4,B5","Sample",2,486.738346654217,8.86355014628299,6.26747641382372,407.102508161027,566.374185147407,444.314481219991,530.712936796125,407.102508161027,566.374185147407,407.102508161027,566.374185147407,FALSE,1.82100921515841,0.41805,"Out of Range",">ULOQ","Interpolated"
"AF","D4,D5","Sample",2,467.31130085252,14.1246223626643,9.98761625433906,340.406603898542,594.215997806498,423.97014213224,513.066495123015,340.406603898542,594.215997806498,340.406603898542,594.215997806498,FALSE,3.02252959363418,0.43045,"Out of Range",">ULOQ","Interpolated"
"AG","F4,F5","Sample",2,498.474212933776,4.66669573957422,3.2998522031873,456.545615240961,540.579120226687,457.19670604198,540.579120226687,456.545615240961,540.402810626591,456.545615240961,540.579120226687,FALSE,0.936196019470762,0.41095,"Out of Range",">ULOQ","Interpolated"
"AH","H4,H5","Sample",2,449.849149429321,29.116298764764,20.5883322996181,188.249584053974,711.448714804667,399.193136567674,505.369072760427,188.249584053974,711.448714804667,188.249584053974,711.448714804667,FALSE,6.47245833446635,0.44265,"Out of Range",">ULOQ","Interpolated"
"BA","A6,A7","Sample",2,317.985237606787,242.608300895366,171.54997473526,0,2497.7343390786,138.781030303624,526.810722322777,-1861.76386386502,2497.7343390786,-1861.76386386502,2497.7343390786,TRUE,76.2954603557321,0.6347,"Out of Range",">ULOQ","Interpolated"
"BB","C6,C7","Sample",2,305.620920086673,228.101728098723,161.292278738977,0,2355.03363610827,136.739012008926,501.418127005728,-1743.79179593492,2355.03363610827,-1743.79179593492,2355.03363610827,TRUE,74.6355086013202,0.64445,"Out of Range",">ULOQ","Interpolated"
"BC","E6,E7","Sample",2,310.890047012054,224.763056769096,158.931481601645,0,2330.30599126613,144.128280907673,504.67841550549,-1708.52589724203,2330.30599126613,-1708.52589724203,2330.30599126613,TRUE,72.2966395770081,0.6342,"Out of Range",">ULOQ","Interpolated"
"BD","G6,G7","Sample",2,319.546146672781,226.680941382327,160.287630817194,0,2356.19360051243,151.179733285666,515.911955101481,-1717.10130716687,2356.19360051243,-1717.10130716687,2356.19360051243,TRUE,70.9384055300315,0.6224,"Out of Range",">ULOQ","Interpolated"
"BE","B6,B7","Sample",2,319.098662416957,254.488540781205,179.950572920659,0,2605.58748433878,131.711752474467,537.511947240471,-1967.39015950487,2605.58748433878,-1967.39015950487,2605.58748433878,TRUE,79.7523057143599,0.64095,"Out of Range",">ULOQ","Interpolated"
"BF","D6,D7","Sample",2,317.843119306555,253.158264693225,179.009925677998,0,2592.37988477862,131.405930366386,535.04058048021,-1956.69364616551,2592.37988477862,-1956.69364616551,2592.37988477862,TRUE,79.6488107861343,0.642,"Out of Range",">ULOQ","Interpolated"
"BG","F6,F7","Sample",2,324.070698917967,240.795000009952,170.267777382852,0,2487.5279383179,145.911602755946,532.211770040615,-1839.38654048197,2487.5279383179,-1839.38654048197,2487.5279383179,TRUE,74.3032309967973,0.62435,"Out of Range",">ULOQ","Interpolated"
"BH","H6,H7","Sample",2,302.415612943557,233.281442983798,164.954890258826,0,2398.36622080543,130.072695712159,501.930688771518,-1793.53499491832,2398.36622080543,-1793.53499491832,2398.36622080543,TRUE,77.1393516072656,0.65295,"Out of Range",">ULOQ","Interpolated"
"CA","A8,A9","Sample",2,144.914159808526,0.314443460691803,0.222345103354939,137.091144597052,152.750748377905,137.091144597052,152.750748377905,142.088997403212,147.73932221384,137.091144597052,152.750748377905,FALSE,0.21698601510527,0.85685,"Out of Range",">ULOQ","Interpolated"
"CB","C8,C9","Sample",2,151.86559910037,3.15677980183819,2.23218040459251,123.503057871541,180.2281403292,141.878454023526,161.998963490824,123.503057871541,180.2281403292,123.503057871541,180.2281403292,FALSE,2.07866680837431,0.83995,"Out of Range",">ULOQ","Interpolated"
"CC","E8,E9","Sample",2,145.274489449197,7.10040963940754,5.0207478052274,81.4798399072782,209.069138991116,132.785329583298,158.071458773555,81.4798399072782,209.069138991116,81.4798399072782,209.069138991116,FALSE,4.88758189158226,0.8561,"Out of Range",">ULOQ","Interpolated"
"CD","G8,G9","Sample",2,140.087293963775,3.21656454038788,2.27445459863246,111.187608170417,168.986979757133,130.414793935075,149.892266050605,111.187608170417,168.986979757133,111.187608170417,168.986979757133,FALSE,2.29611440793455,0.86895,"Out of Range",">ULOQ","Interpolated"
"CE","B8,B9","Sample",2,152.503808364088,1.30191486151707,0.920592827106262,140.806567424222,164.201049303954,143.765211511577,161.303099369764,140.806567424222,164.201049303954,140.806567424222,164.201049303954,FALSE,0.853693344109068,0.8384,"Out of Range",">ULOQ","Interpolated"
"CF","D8,D9","Sample",2,140.498744826071,11.4034414625537,8.06345078703556,38.0428882459279,242.954601406214,125.186824209591,156.283055918523,38.0428882459279,242.954601406214,38.0428882459279,242.954601406214,FALSE,8.11640095195904,0.86825,"Out of Range",">ULOQ","Interpolated"
"CG","F8,F9","Sample",2,146.449700309903,3.56931505306416,2.52388687821289,114.380676904385,178.518723715421,136.348383974341,156.707501000382,114.380676904385,178.518723715421,114.380676904385,178.518723715421,FALSE,2.43722933233125,0.8531,"Out of Range",">ULOQ","Interpolated"
"CH","H8,H9","Sample",2,145.359261231504,0.257790675031222,0.182285534441235,137.56149394646,153.168205869991,137.56149394646,153.168205869991,143.04310391045,147.675418552557,137.56149394646,153.168205869991,FALSE,0.177347265559266,0.85575,"Out of Range",">ULOQ","Interpolated"
"DA","A10,A11","Sample",2,1519.97802920843,338.641848622778,239.455947554715,0,4562.55432413334,1116.17132412053,2018.04591627761,-1522.59826571649,4562.55432413334,-1522.59826571649,4562.55432413334,TRUE,22.2793910250884,0.19785,"Out of Range",">ULOQ","Interpolated"
"DB","C10,C11","Sample",2,1303.4932411073,150.275864515036,106.261082847253,0,2653.66831525212,1048.23199336942,1598.58650190385,-46.6818330375168,2653.66831525212,-46.6818330375168,2653.66831525212,TRUE,11.5287030094133,0.2138,"Out of Range",">ULOQ","Interpolated"
"DC","E10,E11","Sample",2,1415.83380973248,1.72696046257248,1.22114545392606,1224.84525850796,1607.29289418086,1224.84525850796,1607.29289418086,1400.31768558225,1431.34993388271,1224.84525850796,1607.29289418086,FALSE,0.121974800340358,0.2029,"Out of Range",">ULOQ","Interpolated"
"DD","G10,G11","Sample",2,1369.47729982445,81.2260069811311,57.4354603450637,639.690581563625,2099.26401808527,1141.79222705218,1619.05257522775,639.690581563625,2099.26401808527,639.690581563625,2099.26401808527,FALSE,5.931168555444,0.20705,"Out of Range",">ULOQ","Interpolated"
"DE","B10,B11","Sample",2,1368.30392065291,70.6760043698524,49.9754819570927,733.305215117081,2003.30262618873,1146.89660269193,1608.75334327724,733.305215117081,2003.30262618873,733.305215117081,2003.30262618873,FALSE,5.16522705979885,0.2071,"Out of Range",">ULOQ","Interpolated"
"DF","D10,D11","Sample",2,1319.53718615859,143.115225764238,101.197746628937,33.6978986517947,2605.3764736654,1065.48249952237,1611.68235446602,33.6978986517947,2605.3764736654,33.6978986517947,2605.3764736654,FALSE,10.8458652977315,0.21215,"Out of Range",">ULOQ","Interpolated"
"DG","F10,F11","Sample",2,1445.2978654541,303.052854840023,214.290728715323,0,4168.11973757505,1075.82449795457,1897.79235065627,-1277.52400666686,4168.11973757505,-1277.52400666686,4168.11973757505,TRUE,20.9681936217907,0.2032,"Out of Range",">ULOQ","Interpolated"
"DH","H10,H11","Sample",2,1649.88581613918,38.1156155838773,26.9518102484593,1307.43059711173,1992.34103516664,1392.12968034069,1918.54094094683,1307.43059711173,1992.34103516664,1307.43059711173,1992.34103516664,FALSE,2.31019717916418,0.1866,"Out of Range",">ULOQ","Interpolated"
"EA","A12,B12","Sample",2,1380.32244830201,142.540251762489,100.791178613294,99.6490972411405,2660.99579936287,1115.36516002771,1683.78560601614,99.6490972411405,2660.99579936287,99.6490972411405,2660.99579936287,FALSE,10.3265908583776,0.20655,"Out of Range",">ULOQ","Interpolated"
"EB","C12,D12","Sample",2,1389.13564054114,72.9279867592976,51.567873975782,733.903675995602,2044.36760508669,1162.50628315625,1635.5111183449,733.903675995602,2044.36760508669,733.903675995602,2044.36760508669,FALSE,5.24988234632639,0.2053,"Out of Range",">ULOQ","Interpolated"
"EC","E12,F12","Sample",2,1325.17607515864,116.19475706787,82.1621006610143,281.2076026056,2369.14454771168,1085.61942899123,1595.70563546933,281.2076026056,2369.14454771168,281.2076026056,2369.14454771168,FALSE,8.76825044203728,0.21135,"Out of Range",">ULOQ","Interpolated"
"ED","G12,H12","Sample",2,1251.79900047883,100.062986765619,70.7552164877492,352.768733633128,2150.82926732454,1034.98581788981,1494.78178353521,352.768733633128,2150.82926732454,352.768733633128,2150.82926732454,FALSE,7.9935346431291,0.2186,"Out of Range",">ULOQ","Interpolated"
